t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=f52ffd2cef29 l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=c19a62bdc354 l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=30fac6832033 l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=5a1dc6b300bf l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=a1e7890879ac l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=c5b7173b9120 l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=356a967408a6 l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=8c1f5b72179f l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=fb8bbcbcd363 l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=4aecdac09698 l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=fbd0e27b061b l=[::1]:80 r=189.110.27.5:50886
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=dfc9f3baa819 l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=9fd655c24f2e l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=73db9e9397a7 l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=dc45cee54a49 l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=8eb70b28369b l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=a1fd85402c88 l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=3831534015a6 l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=f786e03cb8c8 l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=52087f39835d l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=3de95b7744c1 l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=e41592fae0ca l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=abdaa08936d2 l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=31508a8764ee l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=d15bf04bfffd l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=6260b20166a1 l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=759358928310 l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=ddb1565e2e63 l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=ac8ce78df866 l=[::1]:80 r=189.110.27.5:50882
